名称,カナ,部門,分類,管理コード,精度管理対象,適用開始日,適用終了日,数量単位,梱包数,梱包単位,規格,単価,テスト数,最低個数,発注個数,JANコード,メーカー,問屋,バーコード発行
クイックオートネオ　ＣＨ－Ｅ,ｸｲｯｸｵｰﾄﾈｵ CH-E,生化学,試薬,,,2001/1/1,2099/12/31,,,,,,,,,4987666504188 ,ベックマン・コールター,宝来メデック,
クイックオートネオ　ＵＩＢＣ,ｸｲｯｸｵｰﾄﾈｵ UIBC,生化学,試薬,,,2001/1/1,2099/12/31,,,,,,,,,4987666500890 ,ベックマン・コールター,宝来メデック,
バッファー液　＊,ﾊﾞｯﾌｧｰ液 *,生化学,試薬,,,2001/1/1,2099/12/31,,,,2LX3,,,,,4987666523943 ,ベックマン・コールター,宝来メデック,
スマートジーンメンテナンスカ－トリッジ,ｽﾏｰﾄｼﾞｰﾝﾒﾝﾃﾅﾝｽｶ-ﾄﾘｯｼﾞ,生化学,試薬,,,2001/1/1,2099/12/31,,,,,,,,,4987537855005 ,ミズホメディー,宝来メデック,
スマ－トジ－ン　ＳＡＲＳ－ＣｏＶ－２　テストカ－トリッジ,ｽﾏ-ﾄｼﾞ-ﾝ SARS-CoV-2 ﾃｽﾄｶ-ﾄﾘｯｼﾞ,生化学,試薬,,,2001/1/1,2099/12/31,,,,5回用,,,,,4987537502107 ,ミズホメディー,宝来メデック,
スマ－トジ－ン　ＳＡＲＳ－ＣｏＶ－２　検体採取セット,ｽﾏ-ﾄｼﾞ-ﾝ SARS-CoV-2 検体採取ｾｯﾄ,生化学,試薬,,,2001/1/1,2099/12/31,,,,10回用,,,,,4987537502206 ,ミズホメディー,宝来メデック,
スマ－トジ－ンＳＡＲＳ－ＣｏＶ－２陽性コントロール,ｽﾏ-ﾄｼﾞ-ﾝSARS-CoV-2陽性ｺﾝﾄﾛｰﾙ,生化学,試薬,,,2001/1/1,2099/12/31,,,,5ﾎﾝ,,,,,4987537592016 ,ミズホメディー,宝来メデック,
ＳＡＲＳ－ＣｏＶ－２　ラピッド抗原キット（旧鼻咽頭用）,SARS-CoV-2 ﾗﾋﾟｯﾄﾞ抗原ｷｯﾄ(旧鼻咽頭用),生化学,試薬,,,2001/1/1,2099/12/31,,,,25T,,,,,4987518508487 ,ロシュ,宝来メデック,
ＳＡＲＳ－ＣｏＶ－２　ラピッド抗原キット（鼻腔スワブ）,SARS-CoV-2 ﾗﾋﾟｯﾄﾞ抗原ｷｯﾄ(鼻腔ｽﾜﾌﾞ),生化学,試薬,,,2001/1/1,2099/12/31,,,,25T,,,,,4987518508654 ,ロシュ,宝来メデック,
ズーム液　久光　（医薬用外）,ｽﾞｰﾑ液 久光 (医薬用外),生化学,試薬,,,2001/1/1,2099/12/31,,,,5ml,,,,,4987188491430 ,医薬品,宝来メデック,
ＣＲＰ－ＨＧ標準　ＡＴ７　Ｇ－ＩＺ８６,CRP-HG標準 AT7 G-IZ86,生化学,試薬,,,2001/1/1,2099/12/31,,,,1mlx7,,,,,4987026186955 ,栄研化学,宝来メデック,
ＬＺ　ＣＲＰ－ＨＧ　Ｒ１　Ｇ－ＩＺ６４,LZ CRP-HG R1 G-IZ64,生化学,試薬,,,2001/1/1,2099/12/31,,,,20X4,,,,,4987026159805 ,栄研化学,宝来メデック,
ＬＺ　ＣＲＰ－ＨＧ　Ｒ２　Ｇ－ＩＺ６５,LZ CRP-HG R2 G-IZ65,生化学,試薬,,,2001/1/1,2099/12/31,,,,20X4,,,,,4987026159836 ,栄研化学,宝来メデック,
ＬＺ　ＲＦ　標準　Ｇ－ＩＺ８５,LZ RF 標準 G-IZ85,生化学,試薬,,,2001/1/1,2099/12/31,,,,1mlx6,,,,,4987026161549 ,栄研化学,宝来メデック,
ＬＺ－ＲＦ　Ｇ－ＩＺ３３,LZ-RF G-IZ33,生化学,試薬,,,2001/1/1,2099/12/31,,,,ｾｯﾄ,,,,,4987026161518 ,栄研化学,宝来メデック,
イムノピアリ－１,ｲﾑﾉﾋﾟｱﾘ-1,生化学,試薬,,,2001/1/1,2099/12/31,,,,3mlX2,,,,,4987026106205 ,栄研化学,宝来メデック,
イムノピアリ－２,ｲﾑﾉﾋﾟｱﾘ-2,生化学,試薬,,,2001/1/1,2099/12/31,,,,3mlX2,,,,,4987026106212 ,栄研化学,宝来メデック,
クイックＡＮ　ＦＥ－１　Ｇ－ＱＦ０１,ｸｲｯｸAN FE-1 G-QF01,生化学,試薬,,,2001/1/1,2099/12/31,,,,60X4,,,,,4987026139715 ,栄研化学,宝来メデック,
クイックＡＮ　ＦＥ－２　Ｇ－ＱＦ０２,ｸｲｯｸAN FE-2 G-QF02,生化学,試薬,,,2001/1/1,2099/12/31,,,,30X4,,,,,4987026139722 ,栄研化学,宝来メデック,
コレステスト－ＬＤＬ　Ｒ１,ｺﾚｽﾃｽﾄ-LDL R1,生化学,試薬,,,2001/1/1,2099/12/31,,,,55X2,,,,,4987026245256 ,栄研化学,宝来メデック,
コレステスト－ＬＤＬ　Ｒ２,ｺﾚｽﾃｽﾄ-LDL R2,生化学,試薬,,,2001/1/1,2099/12/31,,,,25X2,,,,,4987026075464 ,栄研化学,宝来メデック,
コレステストＮ　ＨＤＬ　Ｒ１,ｺﾚｽﾃｽﾄN HDL R1,生化学,試薬,,,2001/1/1,2099/12/31,,,,55X2,,,,,4987026257136 ,栄研化学,宝来メデック,
コレステストＮ　ＨＤＬ　Ｒ２,ｺﾚｽﾃｽﾄN HDL R2,生化学,試薬,,,2001/1/1,2099/12/31,,,,25X2,,,,,4987026042275 ,栄研化学,宝来メデック,
ラピランＨ　ピロリ抗体　スティック　Ｅ－ＡＭ３１,ﾗﾋﾟﾗﾝH ﾋﾟﾛﾘ抗体 ｽﾃｨｯｸ E-AM31,生化学,試薬,,,2001/1/1,2099/12/31,,,,10T,,,,,4987026192239 ,栄研化学,宝来メデック,
トロップＴ　センシティブ,ﾄﾛｯﾌﾟT ｾﾝｼﾃｨﾌﾞ,生化学,試薬,,,2001/1/1,2099/12/31,,,,5ﾃｽﾄ,,,,,4987086590105 ,三和化学,宝来メデック,
ｉＰ検体ラベル　Ｗ５０ｘＰ３５,iP検体ﾗﾍﾞﾙ W50xP35,生化学,試薬,,,2001/1/1,2099/12/31,,,,1200ﾏｲ,,,,,,小林クリエイト,宝来メデック,
ロシュ　ＰＴテストストリップ,ﾛｼｭ PTﾃｽﾄｽﾄﾘｯﾌﾟ,生化学,試薬,,,2001/1/1,2099/12/31,,,,24ｲﾘ,,,,,4987502520617 ,積水メディカル,宝来メデック,
※大塚生食注　生理食塩水　プラボトル　細口開栓,※大塚生食注 生理食塩水 ﾌﾟﾗﾎﾞﾄﾙ 細口開栓,生化学,試薬,,,2001/1/1,2099/12/31,,,,500ml,,,,,4987035132509 ,大塚製薬,宝来メデック,
カバーグラス　１８×１８　オート用,ｶﾊﾞｰｸﾞﾗｽ 18×18 ｵｰﾄ用,生化学,試薬,,,2001/1/1,2099/12/31,,,,200枚,,,,,4517715181802 ,武藤化学,宝来メデック,
